"num_owners","num_listings","avg_selling_usd","avg_showroom_usd","avg_depreciation_pct","median_depreciation_pct"
1,"556","664.00","958.67","33.35","35.100096105308126"
2,"66","736.31","1279.03","45.38","44.93372280681564"
